"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"147","Austin Carr",NO,"vs. SF","3 out of 5 stars","F","1.9"
"148","JJ Arcega-Whiteside",PHI,"at NYG","4 out of 5 stars","F","1.8"
"149","Tyrie Cleveland",DEN,"at LV","3 out of 5 stars","F","1.7"
"150","Andre Roberts",BUF,"at ARI","3 out of 5 stars","F","1.6"
"151","Jaydon Mickens",TB,"at CAR","1 out of 5 stars","F","1.5"
"152","John Ross",CIN,"at PIT","5 out of 5 stars","F","1.4"
"153","Diontae Spencer",DEN,"at LV","3 out of 5 stars","F","1.3"
"154","Trent Sherfield",ARI,"vs. BUF","2 out of 5 stars","F","1.3"
"155","Jeff Badet",WAS,"at DET","3 out of 5 stars","F","1.3"
"156","DeAndre Carter",HOU,"at CLE","5 out of 5 stars","F","1.1"
"157","Mohamed Sanu",DET,"vs. WAS","1 out of 5 stars","F","1.0"
"158","Dwayne Harris",CHI,"vs. MIN","5 out of 5 stars","F","0.9"
"159","Tajae Sharpe",MIN,"at CHI","1 out of 5 stars","F","0.9"
"160","Kristian Wilkerson",NE,"vs. BAL","2 out of 5 stars","F","0.9"
"161","Seth Roberts",GB,"vs. JAC","4 out of 5 stars","F","0.6"
"162","Corey Coleman",NYG,"vs. PHI","3 out of 5 stars","F","0.2"
"163","Fred Brown",DEN,"at LV","3 out of 5 stars","F","0.2"
"164","Quez Watkins",PHI,"at NYG","4 out of 5 stars","F","0.2"
