Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
51377-33320,RB,Senorise,Senorise Perry,Perry,0.899999976,1,4500,CHI@TEN,TEN,CHI,IR,Undisclosed,
51377-69164,WR,Kyle,Kyle Williams,Williams,0,0,4500,CHI@TEN,TEN,CHI,,,
51377-60977,RB,Ty'Son,Ty'Son Williams,Williams,0,1,4500,BAL@IND,BAL,IND,,,
51377-57909,RB,Marlon,Marlon Mack,Mack,3.549999952,2,4500,BAL@IND,IND,BAL,IR,Achilles,
51377-60983,WR,Anthony,Anthony Ratliff-Williams,Ratliff-Williams,0,0,4500,LV@LAC,LV,LAC,,,
51377-103995,WR,Alex,Alex Wesley,Wesley,0,2,4500,CHI@TEN,CHI,TEN,,,
51377-62012,RB,Anthony,Anthony Jones,Jones,0,1,4500,SEA@BUF,SEA,BUF,,,
51377-64061,WR,Johnathon,Johnathon Johnson,Johnson,0,1,4500,NYG@WAS,WAS,NYG,,,
51377-103996,WR,Reggie,Reggie White Jr.,White Jr.,0,1,4500,NYG@WAS,NYG,WAS,,,
51377-27199,RB,Marcus,Marcus Murphy,Murphy,0,2,4500,CAR@KC,CAR,KC,,,
51377-103998,WR,Thomas,Thomas Ives,Ives,0,2,4500,CHI@TEN,CHI,TEN,,,
51377-64065,WR,Emanuel,Emanuel Hall,Hall,0,1,4500,NYG@WAS,WAS,NYG,IR,Achilles,
51377-69184,WR,Dillon,Dillon Mitchell,Mitchell,0,0,4500,DET@MIN,MIN,DET,,,
51377-32331,RB,Tra,Tra Carson,Carson,0,1,4500,DET@MIN,DET,MIN,,,
51377-104012,WR,Ashton,Ashton Dulin,Dulin,1.183333317,6,4500,BAL@IND,IND,BAL,O,Knee,
51377-63061,WR,Gary,Gary Jennings,Jennings,0,1,4500,MIA@ARI,MIA,ARI,,,
51377-62042,WR,Deon,Deon Cain,Cain,0,1,4500,PIT@DAL,PIT,DAL,,,
51377-27229,RB,Ameer,Ameer Abdullah,Abdullah,0.324999988,4,4500,DET@MIN,MIN,DET,,,
51377-22113,RB,Alfred,Alfred Morris,Morris,1.399999976,2,4500,NYG@WAS,NYG,WAS,,,
51377-54885,WR,Artavis,Artavis Scott,Scott,0,1,4500,BAL@IND,IND,BAL,,,
51377-87654,WR,Noah,Noah Igbinoghene,Igbinoghene,0,1,4500,MIA@ARI,MIA,ARI,,,
