P,Player,Week,Team,Opp,Opp Position Rank,FDSal,DKSal,FD Points,DK Points
WR,Amari Cooper,16,OAK,IND,12,7200,6500,9.2,11
RB,Rob Kelley,16,WAS,CHI,5,5800,5200,9.2,10
TE,Virgil Green,17,DEN,OAK,25,4500,2500,9.2,11
WR,Chester Rogers,17,IND,JAX,6,4500,3000,9.2,11
WR,Kevin White,3,CHI,DAL,20,5900,4000,9.2,12
TE,Ryan Griffin,3,HOU,NE,21,4500,2500,9.2,13
TE,Gary Barnidge,4,CLE,WAS,11,5900,3600,9.2,13
TE,Cameron Brate,4,TB,DEN,14,5300,2800,9.2,12
WR,Rishard Matthews,4,TEN,HOU,5,5000,3100,9.2,10
WR,Michael Floyd,6,ARI,NYJ,32,6500,4200,9.2,10
RB,Jeremy Hill,1,CIN,NYJ,2,6500,4600,9.1,9
TE,Julius Thomas,2,JAX,SD,28,6400,4400,9.1,11
WR,Victor Cruz,2,NYG,NO,29,5700,4300,9.1,12
RB,CJ Anderson,6,DEN,SD,31,7500,7200,9.1,11
WR,Marqise Lee,6,JAX,CHI,20,4500,3100,9.1,12
WR,Brandin Cooks,9,NO,SF,20,7600,7500,9.1,12
WR,Geronimo Allison,8,GB,ATL,17,0,0,9.1,10
RB,Jerick McKinnon,12,MIN,DET,5,5800,3200,9.1,11
WR,Demaryius Thomas,13,DEN,JAX,6,7100,6600,9.1,12
RB,LeGarrette Blount,15,NE,DEN,22,6300,5000,9.1,9
RB,Mike Gillislee,16,BUF,MIA,14,5100,4500,9.1,9
TE,Eric Ebron,17,DET,GB,18,5800,3600,9.1,12
WR,Eli Rogers,17,PIT,CLE,23,4700,4000,9.1,12
WR,Jeremy Kerley,17,SF,SEA,21,4700,3200,9.1,12
TE,Richard Rodgers,16,GB,MIN,16,4500,2500,9,10
TE,Clive Walford,16,OAK,IND,23,4500,2500,9,10
WR,Travis Benjamin,16,SD,CLE,24,4800,4800,9,11
RB,Justin Forsett,17,DEN,OAK,23,5300,3800,9,9
WR,Josh Huff,5,PHI,DET,27,4500,3000,9,11
TE,Antonio Gates,5,SD,OAK,23,5700,4000,9,12
WR,Michael Floyd,7,ARI,SEA,7,5900,3900,9,12
TE,Lance Kendricks,7,LAR,NYG,10,4500,2700,9,13
WR,Mike Evans,8,TB,OAK,27,7900,8100,9,11
WR,Seth Devalve,10,CLE,BAL,29,4500,2500,9,10
RB,Travaris Cadet,1,NO,OAK,18,5000,3000,9,11
TE,Antonio Gates,2,SD,JAX,11,5900,4500,9,11
RB,Paul Perkins,4,NYG,MIN,6,4500,3000,9,10
WR,Quincy Enunwa,4,NYJ,SEA,1,5600,4400,9,12
WR,Ricardo Louis,6,CLE,TEN,6,4500,3000,9,12
WR,Jordan Matthews,6,PHI,WAS,16,6700,6700,9,11
RB,Mark Ingram,11,NO,CAR,3,6100,5300,9,11
WR,Chris Hogan,12,NE,NYJ,19,5800,4700,9,11
TE,Hunter Henry,12,SD,HOU,5,5600,2900,9,10
WR,Mike Wallace,13,BAL,MIA,16,6500,5000,8.9,12
WR,Kamar Aiken,15,BAL,PHI,30,4500,3000,8.9,10
WR,Quincy Enunwa,15,NYJ,MIA,22,4600,4300,8.9,11
TE,Greg Olsen,16,CAR,ATL,28,6800,5200,8.9,12
RB,Eddie Lacy,5,GB,NYG,7,7100,5900,8.9,9
FB,Jamize Olawale,5,OAK,SD,30,4500,3000,8.9,9
RB,Zach Zenner,7,DET,WAS,24,5400,3500,8.9,9
RB,Charcandrick West,9,KC,JAX,18,5600,4400,8.9,10
TE,Jason Witten,10,DAL,PIT,19,5400,4000,8.9,12
WR,Andre Roberts,11,DET,JAX,9,4500,3000,8.9,10
TE,Martellus Bennett,16,NE,NYJ,25,5600,4100,8.9,10
RB,Tim Hightower,17,NO,ATL,22,5400,4000,8.9,9
WR,Seth Roberts,1,OAK,NO,27,5100,3800,8.9,10
WR,Devin Funchess,2,CAR,SF,4,5700,4300,8.9,10
WR,Allen Hurns,2,JAX,SD,16,6900,5400,8.9,11
WR,Jordan Matthews,3,PHI,PIT,11,6900,7100,8.9,10
RB,Matt Jones,3,WAS,NYG,6,6400,4100,8.9,10
WR,Roger Lewis,6,NYG,BAL,17,4500,3000,8.9,9
FB,Andy Janovich,1,DEN,CAR,12,4500,3000,8.8,9
WR,Michael Thomas,1,NO,OAK,11,4900,4000,8.8,12
TE,Zach Ertz,1,PHI,CLE,14,5700,4300,8.8,12
WR,Jamison Crowder,1,WAS,PIT,30,5100,3800,8.8,12
WR,Tyler Boyd,2,CIN,PIT,14,5400,3500,8.8,13
RB,Kenyan Drake,2,MIA,NE,21,4900,3000,8.8,10
WR,Terrance Williams,3,DAL,CHI,22,4700,3300,8.8,12
RB,Jay Ajayi,3,MIA,CLE,15,5700,4000,8.8,9
WR,Larry Fitzgerald,4,ARI,LA,11,7500,7200,8.8,11
WR,Cole Beasley,4,DAL,SF,15,5200,3900,8.8,10
RB,Matt Asiata,4,MIN,NYG,2,5700,3300,8.8,10
RB,Darren Sproles,5,PHI,DET,5,5400,4300,8.8,11
WR,Adam Thielen,9,MIN,DET,15,5400,3800,8.8,11
WR,Emmanuel Sanders,8,DEN,SD,14,6600,6500,8.8,11
RB,Matt Asiata,8,MIN,CHI,7,5600,3500,8.8,10
WR,Brandon Marshall,8,NYJ,CLE,30,7400,7800,8.8,11
WR,Aldrick Robinson,13,ATL,KC,31,4500,3000,8.8,10
RB,Jeremy Langford,16,CHI,WAS,29,4900,4000,8.8,9
WR,Golden Tate,16,DET,DAL,15,6000,6600,8.8,12
TE,CJ Uzomah,17,CIN,BAL,8,4500,2500,8.8,10
WR,Jeremy Kerley,16,SF,LA,27,4900,3500,8.7,11
RB,Andre Williams,17,SD,KC,18,4500,0,8.7,9
WR,Steve Smith,9,BAL,PIT,4,5500,5400,8.7,11
RB,Isaiah Crowell,9,CLE,DAL,2,6000,3900,8.7,11
RB,Spencer Ware,10,KC,CAR,6,7300,6700,8.7,10
WR,Tyler Lockett,10,SEA,NE,6,4900,3600,8.7,10
WR,Kenny Britt,1,LAR,SF,18,5300,3900,8.7,11
TE,Marcedes Lewis,2,JAX,SD,28,4600,2600,8.7,10
WR,Mike Wallace,4,BAL,OAK,32,6700,5200,8.7,11
RB,James White,4,NE,BUF,23,5300,3600,8.7,11
WR,Seth Roberts,4,OAK,BAL,10,5400,3500,8.7,10
RB,CJ Spiller,4,SEA,NYJ,4,4500,0,8.7,10
RB,Zach Zenner,6,DET,LA,18,5300,3000,8.7,10
RB,Damien Williams,6,MIA,PIT,22,4600,3000,8.7,10
WR,Cecil Shorts,11,TB,KC,23,4500,3000,8.7,11
WR,Tyler Boyd,12,CIN,BAL,29,5600,4000,8.7,11
WR,Golden Tate,14,DET,CHI,22,6300,6600,8.7,12
WR,Marvin Jones,14,DET,CHI,22,5900,4900,8.7,11
RB,TJ Yeldon,15,JAX,HOU,21,5400,4100,8.7,11
RB,Rex Burkhead,16,CIN,HOU,17,4500,3500,8.7,11
FB,Aaron Ripkowski,12,GB,PHI,10,4500,3000,8.6,10
WR,Tyler Boyd,13,CIN,PHI,23,5400,4800,8.6,11
WR,Brandin Cooks,14,NO,TB,20,6300,6400,8.6,11
TE,Antonio Gates,14,SD,CAR,32,5200,3800,8.6,11
WR,Brice Butler,16,DAL,DET,11,4500,3000,8.6,9
WR,Robby Anderson,7,NYJ,BAL,29,4500,3000,8.6,10
TE,Jack Doyle,9,IND,GB,21,5300,3600,8.6,11
WR,Amari Cooper,9,OAK,DEN,1,7700,7700,8.6,12
RB,Darren Sproles,9,PHI,NYG,11,4800,3900,8.6,10
WR,Dontrelle Inman,9,SD,TEN,13,5500,3100,8.6,12
TE,Jason Witten,8,DAL,PHI,2,5200,3600,8.6,10
WR,Willie Snead,8,NO,SEA,9,6400,5800,8.6,12
WR,Mike Evans,10,TB,CHI,32,8500,9000,8.6,11
RB,Giovani Bernard,11,CIN,BUF,19,6000,4600,8.6,11
WR,Geronimo Allison,16,GB,MIN,2,4700,3000,8.6,11
RB,Travaris Cadet,16,NO,TB,21,4500,3100,8.6,10
RB,Frank Gore,17,IND,JAX,14,6200,4700,8.6,10
RB,Shaun Draughn,1,SF,LA,20,4800,3700,8.6,11
RB,Alfred Morris,3,DAL,CHI,18,5400,3700,8.6,9
FB,Kyle Juszczyk,4,BAL,OAK,27,4500,3000,8.6,12
RB,Duke Johnson,4,CLE,WAS,30,5400,4000,8.6,13
WR,Brian Quick,6,LAR,DET,24,4500,3200,8.6,11
TE,Kyle Rudolph,1,MIN,TEN,26,5300,3000,8.5,11
WR,Quinton Patton,1,SF,LA,4,4800,4000,8.5,11
RB,Theo Riddick,2,DET,TEN,1,5900,4300,8.5,11
WR,Michael Floyd,3,ARI,BUF,29,6900,5800,8.5,11
WR,Victor Cruz,3,NYG,WAS,26,5800,4700,8.5,10
WR,Kevin White,4,CHI,DET,22,5500,3400,8.5,12
TE,Jesse James,4,PIT,KC,2,4500,3100,8.5,10
WR,Ted Ginn,6,CAR,NO,25,5900,3900,8.5,11
WR,Brice Butler,6,DAL,GB,27,5600,3500,8.5,9
WR,Brandon Marshall,6,NYJ,ARI,10,7500,7600,8.5,10
RB,Wendell Smallwood,6,PHI,WAS,30,5300,3200,8.5,9
WR,Jordan Matthews,5,PHI,DET,27,7000,6800,8.5,11
WR,Julian Edelman,7,NE,PIT,5,6900,6500,8.5,14
RB,Jay Ajayi,10,MIA,SD,28,7800,7000,8.5,9
TE,Zach Ertz,10,PHI,ATL,28,4600,3700,8.5,12
WR,Demaryius Thomas,12,DEN,KC,27,7500,6900,8.5,11
TE,Delanie Walker,15,TEN,KC,3,6100,3900,8.5,12
TE,Xavier Grimble,16,PIT,BAL,7,4500,2500,8.5,9
RB,Bilal Powell,16,NYJ,NE,7,6500,6000,8.4,9
TE,Jimmy Graham,17,SEA,SF,15,6400,4500,8.4,10
RB,Jacquizz Rodgers,17,TB,CAR,12,5200,4900,8.4,9
RB,Frank Gore,5,IND,CHI,19,6500,5700,8.4,9
WR,Randall Cobb,9,GB,IND,8,6900,6600,8.4,9
WR,Bryan Walters,8,JAX,TEN,10,4500,3000,8.4,9
WR,Darren Waller,10,BAL,CLE,25,0,2500,8.4,9
WR,Robby Anderson,10,NYJ,LA,18,4700,3000,8.4,10
TE,Vance McDonald,1,SF,LA,20,4700,3100,8.4,9
WR,Pierre Garcon,3,WAS,NYG,9,6100,3900,8.4,11
WR,Mike Evans,4,TB,DEN,3,8000,6500,8.4,11
WR,Kamar Aiken,6,BAL,NYG,22,5200,3000,8.4,10
WR,Brandin Cooks,11,NO,CAR,22,7400,7000,8.4,12
WR,Jordan Matthews,11,PHI,SEA,6,5800,5400,8.4,11
WR,Will Fuller,13,HOU,GB,30,5600,4700,8.4,11
RB,Tevin Coleman,12,ATL,ARI,1,5600,4700,8.3,9
RB,Theo Riddick,12,DET,MIN,12,6400,5400,8.3,11
WR,Steve Smith,13,BAL,MIA,16,6100,5700,8.3,11
FB,Aaron Ripkowski,13,GB,HOU,22,4500,3000,8.3,9
TE,Hunter Henry,14,SD,CAR,32,5500,2900,8.3,9
WR,Marquise Goodwin,5,BUF,LA,18,5500,3000,8.3,9
WR,Andre Johnson,5,TEN,MIA,29,5200,3200,8.3,9
TE,Travis Kelce,9,KC,JAX,7,6600,5300,8.3,11
WR,Kelvin Benjamin,8,CAR,ARI,8,7300,7200,8.3,9
RB,Lamar Miller,10,HOU,JAX,16,7500,6400,8.3,8
WR,Jarvis Landry,10,MIA,SD,17,6800,7200,8.3,11
WR,DeAndre Hopkins,11,HOU,OAK,25,7100,6500,8.3,11
TE,Kyle Rudolph,16,MIN,GB,21,6000,4900,8.3,11
TE,Matt Lengel,16,NE,NYJ,25,4500,2500,8.3,9
WR,Terrelle Pryor,1,CLE,PHI,32,4900,3000,8.3,10
RB,Eddie Lacy,1,GB,JAX,24,7100,6700,8.3,9
RB,Rashad Jennings,1,NYG,DAL,26,6000,5400,8.3,9
RB,Mike Gillislee,2,BUF,NYJ,6,4800,3400,8.3,9
RB,Theo Riddick,3,DET,GB,2,6400,4900,8.3,12
WR,Brandon LaFell,6,CIN,NE,7,5300,3200,8.3,9
WR,Andre Roberts,6,DET,LA,14,4500,3000,8.3,9
WR,Marvin Jones,6,DET,LA,14,7700,7200,8.3,9
WR,Chester Rogers,6,IND,HOU,3,4500,3000,8.3,10
WR,Jermaine Kearse,1,SEA,MIA,19,5400,3500,8.2,11
WR,Ted Ginn,3,CAR,MIN,7,6000,3700,8.2,10
WR,Amari Cooper,3,OAK,TEN,13,7700,7700,8.2,10
WR,Travis Benjamin,3,SD,IND,10,6900,5200,8.2,11
TE,Jason Witten,4,DAL,SF,29,6000,4500,8.2,12
TE,Connor Hamlett,5,CLE,NE,17,4500,0,8.2,9
TE,Jacob Tamme,7,ATL,SD,17,5200,2800,8.2,9
RB,Lamar Miller,7,HOU,DEN,20,7700,6000,8.2,10
RB,Jalen Richard,9,OAK,DEN,19,5000,3000,8.2,9
RB,Terrance West,10,BAL,CLE,31,6500,5700,8.2,9
TE,Ryan Griffin,10,HOU,JAX,8,4500,2500,8.2,10
TE,Will Tye,11,NYG,CHI,5,4500,2700,8.2,9
WR,Cameron Meredith,13,CHI,SF,32,5600,4100,8.2,10
RB,Paul Perkins,16,NYG,PHI,13,4500,3200,8.2,9
WR,Breshad Perriman,17,BAL,CIN,2,4700,3000,8.2,10
TE,CJ Fiedorowicz,17,HOU,TEN,12,4800,3900,8.2,9
TE,CJ Fiedorowicz,5,HOU,MIN,13,4500,2500,8.1,10
RB,Bilal Powell,5,NYJ,PIT,24,5100,4000,8.1,11
RB,Mike Davis,7,SF,TB,25,4500,3000,8.1,8
RB,Rob Kelley,7,WAS,DET,8,4900,3000,8.1,9
WR,Demaryius Thomas,9,DEN,OAK,26,7400,6000,8.1,11
RB,Theo Riddick,9,DET,MIN,13,6600,4900,8.1,9
TE,Hunter Henry,10,SD,MIA,13,5400,3000,8.1,9
WR,Tyreek Hill,11,KC,TB,30,5400,4500,8.1,10
TE,Jacob Tamme,1,ATL,TB,13,5000,2800,8.1,11
WR,Tyrell Williams,1,SD,KC,24,4500,3000,8.1,9
RB,Christine Michael,1,SEA,MIA,32,4800,3700,8.1,9
WR,Pierre Garcon,1,WAS,PIT,30,6300,4400,8.1,11
TE,Lance Kendricks,2,LAR,SEA,3,4600,2900,8.1,10
WR,Tavon Austin,2,LAR,SEA,2,6300,4900,8.1,11
RB,Christine Michael,2,SEA,LA,27,5900,4600,8.1,11
WR,Robert Woods,3,BUF,ARI,24,5100,3200,8.1,11
RB,Fozzy Whittaker,3,CAR,MIN,9,6300,3800,8.1,11
RB,Bilal Powell,3,NYJ,KC,30,4900,3400,8.1,12
TE,Hunter Henry,3,SD,IND,21,4500,2500,8.1,12
RB,Spencer Ware,4,KC,PIT,30,6200,5700,8.1,10
WR,Andre Holmes,6,OAK,KC,26,4500,3000,8.1,9
RB,Chris Thompson,6,WAS,PHI,6,5200,3200,8.1,10
WR,Justin Hunter,12,BUF,JAX,9,5300,3000,8.1,9
WR,Cole Beasley,12,DAL,WAS,14,6400,5500,8.1,11
TE,Jason Witten,15,DAL,TB,16,5000,3400,8.1,14
WR,Rod Streater,15,SF,ATL,23,4500,3000,8.1,9
WR,Terrance Williams,16,DAL,DET,11,4600,3200,8.1,10
RB,Devontae Booker,16,DEN,KC,19,5400,3700,8.1,12
WR,Will Fuller,12,HOU,SD,17,6000,5100,8,10
WR,Leonte Carroo,12,MIA,SF,30,4500,3000,8,9
TE,Vance McDonald,12,SF,MIA,17,4800,3000,8,10
RB,Doug Martin,12,TB,SEA,12,6400,4900,8,10
FB,John Kuhn,13,NO,DET,5,4500,3000,8,9
TE,Jack Doyle,14,IND,HOU,5,4500,2700,8,11
WR,Chris Conley,14,KC,OAK,17,4500,3100,8,9
WR,Julio Jones,16,ATL,CAR,26,8500,8100,8,10
RB,Damien Williams,5,MIA,TEN,4,4900,3000,8,9
WR,Devante Parker,5,MIA,TEN,10,6400,5000,8,9
TE,Kyle Rudolph,7,MIN,PHI,2,5400,3500,8,11
WR,Victor Cruz,7,NYG,LA,26,5600,3900,8,11
WR,Anquan Boldin,9,DET,MIN,2,5700,3600,8,9
RB,Ryan Mathews,9,PHI,NYG,11,5300,4100,8,9
WR,Dorial Green-Beckham,8,PHI,DAL,14,4800,3000,8,11
RB,Jordan Howard,10,CHI,TB,27,6900,6000,8,12
RB,Matt Asiata,10,MIN,WAS,25,5800,3800,8,9
TE,Jack Doyle,17,IND,JAX,14,4600,3200,8,9
TE,Larry Donnell,1,NYG,DAL,2,4900,2900,8,9
RB,Corey Grant,2,JAX,SD,26,4500,3000,8,9
WR,Charles Johnson,4,MIN,NYG,18,4700,3000,8,9
TE,Anthony Fasano,6,TEN,CLE,32,4500,2500,8,9
WR,Corey Coleman,1,CLE,PHI,32,6500,5100,7.9,9
WR,Steve Smith,2,BAL,CLE,27,6400,4300,7.9,9
RB,Jeremy Langford,2,CHI,PHI,21,6500,4600,7.9,9
WR,Chris Hogan,2,NE,MIA,17,4700,3500,7.9,10
RB,Isaiah Crowell,3,CLE,MIA,18,6900,4700,7.9,8
TE,John Phillips,3,DEN,CIN,22,0,2500,7.9,9
TE,Richard Rodgers,3,GB,DET,32,4600,2700,7.9,9
WR,Larry Fitzgerald,6,ARI,NYJ,32,7400,7700,7.9,11
WR,John Brown,6,ARI,NYJ,32,6600,4500,7.9,10
RB,Devontae Booker,5,DEN,ATL,27,5100,3000,7.9,10
WR,Tajae Sharpe,7,TEN,IND,7,4700,3500,7.9,10
WR,Bryce Treggs,9,PHI,NYG,18,4500,3000,7.9,9
WR,Mike Wallace,10,BAL,CLE,25,6900,6200,7.9,10
WR,Emmanuel Sanders,10,DEN,NO,12,6900,6800,7.9,10
TE,Jesse James,10,PIT,DAL,22,4900,2700,7.9,10
RB,Terrance West,12,BAL,CIN,20,6300,4000,7.9,9
WR,Breshad Perriman,12,BAL,CIN,6,5000,3100,7.9,8
WR,Devante Parker,12,MIA,SF,30,6300,4700,7.9,9
TE,Coby Fleener,12,NO,LA,7,5700,3100,7.9,10
RB,Darren Sproles,12,PHI,GB,17,5400,4500,7.9,10
RB,Shaun Draughn,12,SF,MIA,8,4500,3200,7.9,11
RB,Frank Gore,13,IND,NYJ,15,6200,4900,7.9,8
WR,Justin Hardy,14,ATL,LA,21,4600,3000,7.9,9
RB,Dwayne Washington,14,DET,CHI,5,4500,3500,7.9,8
WR,Jeff Janis,14,GB,SEA,8,4500,3000,7.9,8
TE,Dion Sims,14,MIA,ARI,1,4500,2500,7.9,9
RB,Thomas Rawls,14,SEA,GB,7,6500,5700,7.9,8
WR,Mike Evans,15,TB,DAL,15,8200,8300,7.9,10
WR,Cody Core,16,CIN,HOU,3,4500,3000,7.9,12
RB,Matt Asiata,16,MIN,GB,10,5100,3100,7.9,9
WR,Eddie Royal,5,CHI,IND,6,5700,4200,7.8,11
WR,Terrelle Pryor,5,CLE,NE,9,7200,5800,7.8,10
WR,Dorial Green-Beckham,7,PHI,MIN,2,4600,3000,7.8,9
TE,Jimmy Graham,7,SEA,ARI,1,6700,5800,7.8,10
WR,Tajae Sharpe,9,TEN,SD,12,4700,3000,7.8,10
WR,Ted Ginn,8,CAR,ARI,8,5600,3900,7.8,10
FB,Jamize Olawale,8,OAK,TB,25,4500,3000,7.8,9
TE,Will Tye,10,NYG,CIN,30,4500,2500,7.8,10
WR,Kendall Wright,10,TEN,GB,24,4800,4100,7.8,9
WR,Golden Tate,1,DET,IND,26,6900,7300,7.8,11
WR,Michael Floyd,2,ARI,TB,23,7000,5900,7.8,9
RB,TJ Yeldon,2,JAX,SD,26,6500,4700,7.8,12
RB,Theo Riddick,4,DET,CHI,25,6600,5200,7.8,10
RB,Dion Lewis,12,NE,NYJ,19,4900,4000,7.8,10
WR,Dwayne Harris,12,NYG,CLE,26,4500,3000,7.8,8
RB,Mark Ingram,13,NO,DET,5,7000,6000,7.8,10
RB,Travaris Cadet,13,NO,DET,5,4500,3000,7.8,10
TE,Trey Burton,13,PHI,CIN,29,4500,2500,7.8,10
RB,Damien Williams,14,MIA,ARI,2,4600,3900,7.8,9
WR,Tyrell Williams,14,SD,CAR,29,6800,6100,7.8,9
WR,Allen Hurns,12,JAX,BUF,12,4900,3900,7.7,8
TE,Ladarius Green,12,PIT,IND,24,4500,2600,7.7,9
TE,Jimmy Graham,12,SEA,TB,21,6900,5300,7.7,12
TE,Jermaine Gresham,13,ARI,WAS,23,4500,2500,7.7,10
WR,Steve Smith,14,BAL,NE,7,6200,5500,7.7,10
WR,Mike Wallace,14,BAL,NE,7,6200,4900,7.7,10
RB,Latavius Murray,15,OAK,SD,25,6800,5800,7.7,9
RB,CJ Anderson,5,DEN,ATL,27,8000,6900,7.7,9
RB,Deandre Washington,5,OAK,SD,30,4700,3400,7.7,10
WR,Golden Tate,8,DET,HOU,4,6300,5100,7.7,11
WR,Jermaine Kearse,8,SEA,NO,19,4500,3100,7.7,10
RB,Todd Gurley,10,LAR,NYJ,18,7000,5300,7.7,8
RB,Kenneth Farrow,16,SD,CLE,31,6100,5000,7.7,10
TE,Cameron Brate,16,TB,NO,19,5600,3900,7.7,8
WR,Seth Devalve,17,CLE,PIT,3,4500,2500,7.7,8
WR,Corey Brown,3,CAR,MIN,7,4900,3000,7.7,10
WR,Albert Wilson,4,KC,PIT,5,4700,3000,7.7,10
TE,Lance Kendricks,4,LAR,ARI,5,4500,2600,7.7,10
TE,Charles Clay,6,BUF,SF,22,5300,2900,7.7,10
WR,Michael Floyd,1,ARI,NE,22,6900,5900,7.6,9
RB,Shane Vereen,1,NYG,DAL,26,5300,3800,7.6,9
RB,Duke Johnson,2,CLE,BAL,6,5400,4500,7.6,10
WR,Michael Thomas,2,NO,NYG,5,5000,4000,7.6,10
TE,Vernon Davis,2,WAS,DAL,27,4700,2600,7.6,10
WR,DeAndre Hopkins,3,HOU,NE,27,7900,8600,7.6,10
TE,Brent Celek,3,PHI,PIT,17,5200,2800,7.6,9
TE,Jordan Reed,3,WAS,NYG,15,7500,6500,7.6,10
RB,Eddie Lacy,6,GB,DAL,4,7000,5800,7.6,8
RB,Alex Collins,6,SEA,ATL,23,4500,3000,7.6,8
RB,Damien Williams,7,MIA,BUF,16,4700,3000,7.6,8
RB,TJ Yeldon,8,JAX,TEN,9,5800,3800,7.6,10
RB,Ryan Mathews,8,PHI,DAL,2,5500,4000,7.6,8
WR,Marqise Lee,10,JAX,HOU,3,5000,3900,7.6,10
RB,Robert Turbin,13,IND,NYJ,15,4500,3300,7.6,8
WR,Freddie Martino,13,TB,SD,14,4500,3000,7.6,10
WR,Doug Baldwin,14,SEA,GB,22,7000,6800,7.6,11
WR,Tyler Lockett,14,SEA,GB,22,5100,3700,7.6,10
RB,Tevin Coleman,15,ATL,SF,32,6500,5000,7.6,9
WR,Russell Shepard,16,TB,NO,14,4500,3400,7.6,9
TE,Jared Cook,17,GB,DET,29,4800,3100,7.6,10
WR,Ty Montgomery,17,GB,DET,18,6700,5700,7.6,9
WR,Phillip Dorsett,17,IND,JAX,6,4500,3700,7.6,10
TE,Tyler Higbee,16,LAR,SF,13,4500,2500,7.5,9
WR,Chris Conley,17,KC,SD,8,4500,3000,7.5,10
WR,Brandon Coleman,7,NO,KC,22,4600,3000,7.5,8
WR,Cordarrelle Patterson,9,MIN,DET,15,5400,3300,7.5,11
WR,Brandon Marshall,9,NYJ,MIA,25,7500,7300,7.5,11
RB,Peyton Barber,9,TB,ATL,24,5300,3000,7.5,10
TE,Virgil Green,8,DEN,SD,17,4500,2700,7.5,10
RB,Todd Gurley,2,LAR,SEA,11,8400,7500,7.5,8
WR,Victor Cruz,4,NYG,MIN,3,5700,4600,7.5,10
WR,DeSean Jackson,6,WAS,PHI,4,6400,5800,7.5,10
WR,Terrance Williams,12,DAL,WAS,14,4900,3100,7.5,8
TE,Kyle Rudolph,13,MIN,DAL,27,5400,4100,7.5,11
WR,Jeremy Kerley,14,SF,NYJ,24,5100,3400,7.5,10
WR,Josh Bellamy,15,CHI,GB,22,4700,3300,7.5,8
WR,Charles Johnson,15,MIN,IND,14,4500,3000,7.5,10
WR,Brandon Coleman,11,NO,CAR,22,4600,3000,7.4,8
WR,Marvin Jones,12,DET,MIN,2,5700,4100,7.4,9
TE,Dwayne Allen,12,IND,PIT,19,5100,2600,7.4,10
TE,CJ Fiedorowicz,13,HOU,GB,26,5000,3800,7.4,10
WR,Brittan Golden,14,ARI,MIA,18,4500,3000,7.4,8
TE,Austin Hooper,15,ATL,SF,11,4600,2500,7.4,8
WR,Cordarrelle Patterson,15,MIN,IND,14,4900,3200,7.4,10
WR,Odell Beckham Jr,7,NYG,LA,26,8600,8900,7.4,10
WR,Travis Benjamin,7,SD,ATL,14,6100,6100,7.4,9
WR,Kendall Wright,9,TEN,SD,12,4900,4400,7.4,8
WR,Walter Powell,8,BUF,NE,10,4500,3000,7.4,9
WR,Chris Conley,8,KC,IND,5,4500,3400,7.4,9
RB,TJ Yeldon,10,JAX,HOU,23,5500,3700,7.4,9
TE,Anthony Fasano,10,TEN,GB,21,4500,2500,7.4,8
WR,Corey Coleman,17,CLE,PIT,3,4800,3700,7.4,10
RB,Thomas Rawls,17,SEA,SF,32,7400,5800,7.4,7
TE,Garrett Celek,17,SF,SEA,5,4700,2700,7.4,8
WR,Emmanuel Sanders,1,DEN,CAR,9,6800,5700,7.4,10
WR,Tyreek Hill,1,KC,SD,4,0,3000,7.4,8
WR,Adam Thielen,1,MIN,TEN,21,4500,3000,7.4,9
RB,Jeremy Hill,2,CIN,PIT,9,6600,4300,7.4,9
WR,Andre Johnson,2,TEN,DET,25,4500,3400,7.4,8
RB,Matt Forte,3,NYJ,KC,30,7500,7000,7.4,8
TE,Jace Amaro,3,TEN,OAK,29,4500,2500,7.4,9
RB,DeAngelo Williams,4,PIT,KC,23,5900,6200,7.4,8
WR,Doug Baldwin,4,SEA,NYJ,25,7400,6100,7.4,9
WR,Eddie Royal,6,CHI,JAX,28,6300,4000,7.4,9
TE,Gary Barnidge,6,CLE,TEN,15,5300,3300,7.4,9
RB,Thomas Rawls,1,SEA,MIA,32,7400,6000,7.3,9
WR,Justin Hardy,2,ATL,OAK,32,4800,3000,7.3,8
TE,Eric Ebron,2,DET,TEN,20,5500,3500,7.3,9
RB,Chris Thompson,2,WAS,DAL,12,5200,3700,7.3,9
TE,Jacob Tamme,4,ATL,CAR,26,5500,3400,7.3,8
WR,Andre Roberts,4,DET,CHI,20,4500,3000,7.3,8
RB,LeGarrette Blount,4,NE,BUF,23,7500,5000,7.3,9
WR,Amari Cooper,4,OAK,BAL,10,7600,7600,7.3,10
WR,Jordy Nelson,6,GB,DAL,9,8300,8000,7.3,11
TE,Martellus Bennett,6,NE,CIN,17,6600,4500,7.3,10
WR,Dontrelle Inman,7,SD,ATL,14,5600,3300,7.3,9
WR,Cole Beasley,8,DAL,PHI,5,6100,4800,7.3,9
WR,Adam Humphries,8,TB,OAK,27,5000,3000,7.3,9
WR,Terrelle Pryor,10,CLE,BAL,29,7100,6100,7.3,10
WR,DeAndre Hopkins,10,HOU,JAX,20,7400,7100,7.3,10
RB,Mark Ingram,10,NO,DEN,26,6300,5400,7.3,8
WR,Adam Humphries,10,TB,CHI,32,5200,3700,7.3,10
RB,Jeremy Hill,11,CIN,BUF,19,5900,4400,7.3,8
WR,Larry Fitzgerald,12,ARI,ATL,28,7200,7000,7.3,9
WR,Brian Quick,13,LAR,NE,9,4500,3200,7.3,10
WR,Mike Evans,13,TB,SD,14,8500,8600,7.3,9
RB,Justin Forsett,15,DEN,NE,11,5400,3000,7.3,9
WR,Antonio Brown,15,PIT,CIN,4,8500,8400,7.3,9
