P,Player,Week,Team,Opp,Opp Rank,Opp Position Rank,FDSal,DKSal,FD Points,DK Points
WR,Odell Beckham Jr.,3,CLE,WAS,20,6800,6300,7.9,9.9,
RB,J.D. McKissic,5,WAS,LAR,16,4800,4000,7.9,10.9,
RB,Phillip Lindsay,7,DEN,KC,18,6000,5300,7.9,7.9,
TE,Evan Engram,7,NYG,PHI,29,5700,5200,7.9,10.9,
TE,Hayden Hurst,8,ATL,CAR,10,5900,4200,7.9,10.4,
RB,JaMycal Hasty,7,SF,NE,5,4600,4200,7.8,8.3,
RB,Joshua Kelley,7,LAC,JAX,28,6200,5100,7.8,10.3,
WR,Stefon Diggs,7,BUF,NYJ,13,7500,7000,7.8,10.8,
RB,Ezekiel Elliott,8,DAL,PHI,11,8900,7400,7.8,8.3,
RB,Dion Lewis,8,NYG,TB,4,4600,4000,7.8,8.8,
WR,Cole Beasley,1,BUF,NYJ,25,5400,4800,7.8,9.8,
RB,Devin Singletary,1,BUF,NYJ,9,6300,5400,7.8,10.3,
RB,Josh Jacobs,3,LV,NE,15,8300,7300,7.8,10.3,
TE,Rob Gronkowski,3,TB,DEN,23,5000,3300,7.8,10.8,
TE,Mo Alie-Cox,4,IND,CHI,18,5300,3900,7.8,8.3,
WR,Rashard Higgins,6,CLE,PIT,28,4500,3000,7.8,8.3,
WR,Allen Robinson II,6,CHI,CAR,4,7000,7000,7.8,10.3,
WR,Sterling Shepard,1,NYG,PIT,6,5700,5700,7.7,10.7,
WR,Adam Humphries,1,TEN,DEN,9,4900,3300,7.7,10.7,
WR,Andy Isabella,2,ARI,WAS,8,4500,3700,7.7,8.7,
WR,Preston Williams,3,MIA,JAX,10,5600,4400,7.7,8.7,
RB,Kalen Ballage,3,NYJ,IND,5,4500,4000,7.7,10.2,
WR,Devin Duvernay,3,BAL,KC,6,4500,3200,7.7,8.7,
WR,Randall Cobb,5,HOU,JAX,10,5100,4600,7.7,10.7,
RB,Alexander Mattison,4,MIN,HOU,29,5500,4000,7.7,7.7,
RB,Myles Gaskin,4,MIA,SEA,6,5400,5000,7.7,9.2,
WR,Marquise Brown,6,BAL,PHI,27,6300,6500,7.7,9.7,
TE,Austin Hooper,6,CLE,PIT,10,5200,3900,7.7,10.2,
WR,Danny Amendola,7,DET,ATL,28,4800,3300,7.7,9.2,
TE,Drew Sample,7,CIN,CLE,21,4700,3200,7.7,10.2,
RB,Melvin Gordon III,8,DEN,LAC,13,6700,5600,7.7,10.7,
WR,Malik Taylor,7,GB,HOU,25,4500,3000,7.6,8.6,
WR,Jerry Jeudy,1,DEN,TEN,16,5200,4000,7.6,9.6,
WR,A.J. Green,1,CIN,LAC,4,6200,5700,7.6,10.1,
RB,Antonio Gibson,5,WAS,LAR,16,5800,5000,7.6,10.1,
WR,DeAndre Hopkins,4,ARI,CAR,15,8700,8500,7.6,11.1,
WR,Marvin Jones Jr.,1,DET,CHI,5,6200,5500,7.5,9.5,
TE,Darren Waller,1,LV,CAR,7,6900,5900,7.5,10.5,
FB,Alec Ingold,2,LV,NO,4,4500,4000,7.5,8.5,
RB,Joe Mixon,3,CIN,PHI,18,7000,5900,7.5,8.5,
WR,D.J. Moore,3,CAR,LAC,8,6700,6100,7.5,8.5,
TE,Hunter Henry,3,LAC,CAR,6,6000,4800,7.5,10,
RB,James Robinson,5,JAX,HOU,31,6600,6700,7.5,11,
TE,Ian Thomas,4,CAR,ARI,16,4400,3000,7.5,8.5,
RB,Antonio Gibson,6,WAS,NYG,20,5800,5500,7.5,9.5,
RB,Damien Harris,7,NE,SF,2,5800,4500,7.5,8,
WR,Joe Reed,7,LAC,JAX,17,4500,3000,7.4,7.4,
WR,Tyler Johnson,7,TB,LV,20,5200,3500,7.4,8.4,
WR,Tre'Quan Smith,7,NO,CAR,2,5300,4000,7.4,9.4,
TE,Albert Okwuegbunam,8,DEN,LAC,23,4700,2800,7.4,7.9,
RB,Brian Hill,8,ATL,CAR,28,5200,4000,7.4,8.4,
RB,Tony Pollard,8,DAL,PHI,11,4700,4200,7.4,8.4,
WR,Braxton Berrios,8,NYJ,KC,4,4700,3500,7.4,11.4,
WR,D.J. Moore,1,CAR,LV,23,7100,6600,7.4,9.4,
WR,Darnell Mooney,4,CHI,IND,10,4600,3000,7.4,9.9,
WR,T.Y. Hilton,1,IND,JAX,10,6500,5800,7.3,9.3,
TE,George Kittle,1,SF,ARI,32,8000,7200,7.3,9.3,
RB,Gus Edwards,2,BAL,HOU,20,4600,4000,7.3,7.3,
TE,T.J. Hockenson,3,DET,ARI,8,5400,5300,7.3,9.3,
RB,Travis Homer,4,SEA,MIA,19,5200,4000,7.3,7.8,
WR,Zach Pascal,4,IND,CHI,7,5000,4400,7.3,8.8,
WR,Chris Godwin,6,TB,GB,13,7700,6400,7.3,9.8,
WR,David Moore,7,SEA,ARI,7,4900,3100,7.3,8.8,
WR,Robby Anderson,8,CAR,ATL,28,6600,6600,7.3,9.8,
WR,Jarvis Landry,8,CLE,LV,24,5800,5600,7.2,9.2,
WR,K.J. Hamler,2,DEN,PIT,23,4600,3000,7.2,8.7,
WR,Golden Tate,2,NYG,CHI,18,5500,4900,7.2,9.7,
WR,Curtis Samuel,3,CAR,LAC,8,5100,4000,7.2,9.2,
RB,Devontae Booker,5,LV,KC,17,4800,4000,7.2,7.7,
RB,Le'Veon Bell,5,NYJ,ARI,27,6000,5100,7.2,7.7,
WR,Tyler Johnson,6,TB,GB,13,5000,3400,7.2,7.7,
RB,Jeremy McNichols,6,TEN,HOU,28,4500,4000,7.2,8.2,
RB,Marlon Mack,1,IND,JAX,31,6100,5300,7.1,8.6,
WR,Bisi Johnson,1,MIN,GB,11,4900,4100,7.1,8.6,
WR,Gabriel Davis,2,BUF,MIA,2,4500,3000,7.1,7.6,
TE,Noah Fant,3,DEN,TB,7,5800,5400,7.1,9.6,
FB,Kyle Juszczyk,5,SF,MIA,23,4500,4000,7.1,7.1,
TE,Hayden Hurst,4,ATL,GB,6,5700,4700,7.1,9.1,
TE,Tyler Higbee,6,LAR,SF,7,5700,4800,7.1,8.6,
WR,Christian Kirk,2,ARI,WAS,8,5700,4300,7,8,
RB,Latavius Murray,3,NO,GB,23,5500,4800,7,7.5,
TE,Nick Boyle,3,BAL,KC,20,4400,2700,7,7.5,
FB,Anthony Sherman,3,KC,BAL,1,4500,4000,7,7.5,
TE,Tyler Higbee,3,LAR,BUF,24,6100,5900,7,8,
RB,Giovani Bernard,3,CIN,PHI,18,4800,4200,7,8.5,
RB,J.K. Dobbins,5,BAL,CIN,22,5200,4300,7,8.5,
WR,Dontrelle Inman,6,WAS,NYG,21,4900,3600,7,9.5,
WR,Quintez Cephus,2,DET,GB,28,4600,3800,6.9,8.4,
RB,Rex Burkhead,2,NE,SEA,11,4800,4100,6.9,8.9,
TE,Ross Dwelley,3,SF,NYG,4,4200,2500,6.9,8.9,
WR,Devin Duvernay,5,BAL,CIN,16,4600,3000,6.9,7.9,
TE,Cameron Brate,5,TB,CHI,20,4700,3000,6.9,9.4,
WR,D.J. Moore,4,CAR,ARI,2,6800,5600,6.9,8.9,
TE,Durham Smythe,6,MIA,NYJ,19,4100,2500,6.9,7.4,
WR,Danny Amendola,8,DET,IND,14,4900,3300,6.9,8.4,
TE,Jace Sternberger,7,GB,HOU,20,4300,2500,6.8,7.3,
WR,Marquise Brown,8,BAL,PIT,25,5900,6100,6.8,7.3,
WR,DeVante Parker,8,MIA,LAR,2,6100,5700,6.8,7.3,
WR,Tre'Quan Smith,8,NO,CHI,3,5300,4700,6.8,9.3,
WR,Curtis Samuel,1,CAR,LV,23,5400,4600,6.8,9.3,
WR,Michael Gallup,2,DAL,ATL,25,6000,5600,6.8,7.8,
WR,Chris Conley,2,JAX,TEN,4,4900,3600,6.8,8.8,
TE,Harrison Bryant,3,CLE,WAS,26,4200,2500,6.8,7.3,
TE,Dalton Schultz,3,DAL,SEA,5,4900,4500,6.8,8.8,
TE,Adam Shaheen,5,MIA,SF,2,4100,2500,6.8,7.3,
WR,Chris Conley,5,JAX,HOU,14,4800,3300,6.8,7.8,
WR,Marcus Johnson,5,IND,CLE,30,4500,3000,6.8,8.3,
TE,Jordan Thomas,4,ARI,CAR,4,4000,2500,6.8,7.3,
TE,Cameron Brate,4,TB,LAC,14,4000,2500,6.8,7.3,
WR,Isaiah Ford,4,MIA,SEA,32,4600,3700,6.8,8.8,
WR,Robert Woods,4,LAR,NYG,22,6700,6300,6.8,9.8,
TE,Jason Croom,6,PHI,BAL,18,4000,2500,6.8,7.3,
WR,Jakeem Grant Sr.,6,MIA,NYJ,16,4700,3000,6.8,8.8,
RB,Jordan Howard,1,MIA,NE,1,5500,5100,6.7,6.7,
WR,Mike Evans,1,TB,NO,27,7500,6900,6.7,7.2,
RB,Devontae Booker,1,LV,CAR,32,4600,4000,6.7,8.2,
RB,James White,1,NE,MIA,28,5300,6000,6.7,8.2,
WR,DeVante Parker,1,MIA,NE,1,6700,6000,6.7,8.7,
WR,Diontae Johnson,1,PIT,NYG,28,5900,4200,6.7,10.7,
TE,Zach Ertz,2,PHI,LAR,7,6300,5600,6.7,9.2,
WR,Marquise Brown,2,BAL,HOU,21,6200,6200,6.7,9.2,
RB,Frank Gore,3,NYJ,IND,5,5400,4400,6.7,7.2,
RB,J.D. McKissic,3,WAS,CLE,7,4800,4000,6.7,8.2,
WR,T.Y. Hilton,3,IND,NYJ,13,6200,5600,6.7,8.2,
RB,Latavius Murray,5,NO,LAC,5,5200,4500,6.7,7.7,
TE,Rob Gronkowski,5,TB,CHI,20,5200,4500,6.7,8.2,
WR,Danny Amendola,4,DET,NO,14,5100,4000,6.7,7.7,
RB,Kareem Hunt,6,CLE,PIT,5,7000,6900,6.7,7.7,
TE,Dan Arnold,7,ARI,SEA,4,4400,2600,6.7,7.7,
RB,Duke Johnson,7,HOU,GB,31,4700,4000,6.7,9.2,
FB,Gabe Nabers,8,LAC,DEN,2,4500,4000,6.7,7.2,
RB,Malcolm Brown,8,LAR,MIA,24,5200,4700,6.7,7.7,
WR,CeeDee Lamb,8,DAL,PHI,21,6000,5600,6.6,8.6,
WR,Javon Wims,1,CHI,DET,29,4600,3100,6.6,7.1,
TE,MyCole Pruitt,1,TEN,DEN,14,4100,2500,6.6,7.1,
TE,Reggie Gilliam,2,BUF,MIA,8,4500,3400,6.6,7.1,
FB,Patrick Ricard,2,BAL,HOU,20,4500,4000,6.6,7.1,
RB,J.K. Dobbins,2,BAL,HOU,20,5700,5100,6.6,7.1,
FB,Jakob Johnson,2,NE,SEA,11,4500,4000,6.6,7.1,
TE,Hayden Hurst,3,ATL,CHI,19,5700,4700,6.6,7.1,
TE,Lee Smith,3,BUF,LAR,10,4000,2500,6.6,7.1,
WR,Marvin Jones Jr.,3,DET,ARI,2,6100,5800,6.6,8.1,
WR,Keelan Cole,4,JAX,CIN,3,5600,4500,6.6,8.6,
WR,Steven Sims Jr.,1,WAS,PHI,30,5100,4700,6.5,8,
WR,Michael Gallup,1,DAL,LAR,12,6200,5600,6.5,8,
TE,C.J. Uzomah,1,CIN,LAC,8,4600,3800,6.5,8.5,
TE,Anthony Firkser,2,TEN,JAX,19,4100,2500,6.5,8.5,
WR,Marquez Valdes-Scantling,4,GB,ATL,29,5400,4400,6.5,8.5,
TE,Evan Engram,4,NYG,LAR,22,5600,4400,6.5,9.5,
WR,D.J. Moore,8,CAR,ATL,28,7000,6200,6.5,7.5,
WR,John Hightower,7,PHI,NYG,22,5000,3000,6.4,6.9,
WR,Mike Thomas,7,CIN,CLE,29,4500,3000,6.4,7.4,
WR,Josh Reynolds,8,LAR,MIA,15,5000,3100,6.4,8.4,
RB,Boston Scott,1,PHI,WAS,30,4900,4800,6.4,7.4,
TE,Jack Doyle,1,IND,JAX,20,5300,3600,6.4,7.9,
WR,A.J. Brown,1,TEN,DEN,9,6700,6300,6.4,8.9,
RB,Jordan Howard,2,MIA,BUF,13,5100,4700,6.4,6.4,
WR,Van Jefferson,2,LAR,PHI,9,4600,3000,6.4,8.4,
RB,David Montgomery,3,CHI,ATL,20,6100,5700,6.4,7.4,
TE,O.J. Howard,3,TB,DEN,23,4700,3500,6.4,7.9,
RB,J.K. Dobbins,3,BAL,KC,21,5700,4800,6.4,8.4,
RB,Matt Breida,5,MIA,SF,1,4700,4200,6.4,6.9,
RB,Brian Hill,5,ATL,CAR,28,4800,4000,6.4,7.4,
TE,George Kittle,5,SF,MIA,6,7100,6600,6.4,8.4,
WR,Tyler Lockett,5,SEA,MIN,29,7400,6900,6.4,8.4,
RB,Frank Gore,2,NYJ,SF,20,5400,4500,6.3,6.3,
WR,Mecole Hardman,2,KC,LAC,5,5000,3800,6.3,7.3,
WR,Keelan Cole,3,JAX,MIA,30,5800,4100,6.3,8.3,
RB,Chris Thompson,3,JAX,MIA,9,5300,4200,6.3,8.8,
WR,Curtis Samuel,4,CAR,ARI,2,5100,4800,6.3,7.8,
RB,Matt Breida,4,MIA,SEA,6,4800,4000,6.3,7.8,
WR,Darius Slayton,4,NYG,LAR,12,5500,5000,6.3,7.8,
WR,Noah Brown,4,DAL,CLE,28,4500,3000,6.3,8.3,
RB,Darrell Henderson Jr.,8,LAR,MIA,24,6100,5900,6.3,6.8,
RB,Benny Snell Jr.,7,PIT,TEN,23,4900,4000,6.2,6.2,
RB,Rex Burkhead,7,NE,SF,2,5200,4000,6.2,7.7,
TE,Johnny Mundt,7,LAR,CHI,16,4000,2500,6.2,7.7,
WR,Denzel Mims,7,NYJ,BUF,11,4500,3000,6.2,8.2,
WR,Hunter Renfrow,7,LV,TB,5,5100,4200,6.2,8.2,
RB,Jamaal Williams,1,GB,MIN,14,4900,4100,6.2,8.2,
WR,Tre'Quan Smith,3,NO,GB,27,5400,4200,6.2,8.2,
WR,Tyler Boyd,5,CIN,BAL,10,6000,6200,6.2,8.2,
WR,Golden Tate,5,NYG,DAL,31,5500,4600,6.2,8.2,
TE,Drew Sample,4,CIN,JAX,30,4700,3500,6.2,7.7,
WR,Christian Blake,4,ATL,GB,19,4900,3000,6.2,7.7,
WR,John Brown,4,BUF,LV,5,6100,5100,6.2,8.2,
RB,Devonta Freeman,6,NYG,WAS,16,5600,4900,6.2,6.7,
TE,Kyle Rudolph,6,MIN,ATL,31,4500,3700,6.2,7.7,
RB,Todd Gurley II,2,ATL,DAL,26,7000,6100,6.1,6.1,
WR,Jarvis Landry,2,CLE,CIN,6,6000,5800,6.1,7.6,
WR,Jalen Reagor,2,PHI,LAR,16,5100,4100,6.1,8.1,
RB,Jordan Howard,3,MIA,JAX,18,5400,4300,6.1,6.1,
WR,Olamide Zaccheaus,3,ATL,CHI,5,4500,3000,6.1,8.1,
WR,Adam Humphries,3,TEN,MIN,31,4600,3900,6.1,8.1,
WR,A.J. Green,3,CIN,PHI,9,5900,6000,6.1,8.6,
WR,Golden Tate,3,NYG,SF,16,5400,4500,6.1,8.6,
WR,James Washington,3,PIT,HOU,13,4900,4100,6.1,8.6,
RB,Cam Akers,5,LAR,WAS,12,5200,4000,6.1,6.1,
TE,Jordan Akins,4,HOU,MIN,11,4900,3300,6.1,7.6,
RB,J.D. McKissic,4,WAS,BAL,5,4700,4000,6.1,10.6,
RB,Latavius Murray,7,NO,CAR,27,5300,4800,6.1,6.6,
RB,J.D. McKissic,7,WAS,DAL,25,5200,4600,6.1,7.1,
WR,DeSean Jackson,7,PHI,NYG,22,5500,3900,6.1,7.6,
RB,Mike Davis,7,CAR,NO,14,7700,6600,6.1,8.6,
TE,Jace Sternberger,8,GB,MIN,16,4300,2500,6.1,7.6,
WR,Jaydon Mickens,8,TB,NYG,23,0,3000,6.1,8.6,
RB,Frank Gore,7,NYJ,BUF,19,5100,4300,6,6,
WR,Byron Pringle,7,KC,DEN,18,4700,3000,6,6,
WR,Jalen Reagor,1,PHI,WAS,21,5000,4300,6,6.5,
WR,Cooper Kupp,1,LAR,DAL,7,7200,6500,6,8,
RB,David Johnson,2,HOU,BAL,7,7200,5800,6,7,
WR,Allen Lazard,2,GB,DET,29,5600,5300,6,7.5,
TE,James O'Shaughnessy,2,JAX,TEN,29,4000,2700,6,8,
WR,Josh Reynolds,3,LAR,BUF,17,4600,3700,6,9,
WR,Mecole Hardman,5,KC,LV,15,5100,4400,6,7,
WR,Cordarrelle Patterson,5,CHI,TB,13,4700,3400,6,7.5,
RB,Duke Johnson,4,HOU,MIN,24,4700,4000,6,7.5,
WR,Deebo Samuel,4,SF,PHI,20,6000,5300,6,7.5,
WR,Justin Watson,4,TB,LAC,9,4600,3400,6,8,
TE,Noah Fant,4,DEN,NYJ,23,5900,5800,6,8.5,
TE,Greg Olsen,4,SEA,MIA,10,5000,4100,6,8.5,
WR,Justin Jefferson,2,MIN,IND,27,4700,4400,5.9,7.4,
WR,Laviska Shenault Jr.,3,JAX,MIA,30,5300,4300,5.9,8.4,
WR,Brandon Aiyuk,5,SF,MIA,25,5600,5200,5.9,7.4,
WR,Chris Conley,4,JAX,CIN,3,4900,3700,5.9,7.4,
TE,Dan Arnold,4,ARI,CAR,4,4300,2700,5.9,7.9,
TE,Jimmy Graham,6,CHI,CAR,4,5400,5000,5.9,8.4,
WR,Tim Patrick,7,DEN,KC,6,5500,4600,5.9,7.4,
WR,Laviska Shenault Jr.,7,JAX,LAC,12,5500,4500,5.9,7.4,
RB,Cam Akers,8,LAR,MIA,24,5000,4300,5.9,6.4,
WR,Zach Pascal,8,IND,DET,23,5200,4500,5.9,7.4,
WR,Quintez Cephus,1,DET,CHI,5,4500,3300,5.8,7.3,
WR,Justin Watson,2,TB,CAR,13,4500,3500,5.8,6.8,
RB,Boston Scott,2,PHI,LAR,26,5300,5000,5.8,7.3,
TE,Eric Ebron,2,PIT,DEN,30,4900,4300,5.8,7.3,
WR,Miles Boykin,2,BAL,HOU,21,4700,4100,5.8,7.8,
WR,Bryan Edwards,3,LV,NE,29,4900,3700,5.8,6.8,
RB,Melvin Gordon III,3,DEN,TB,26,6500,5800,5.8,7.8,
TE,Trey Burton,5,IND,CLE,28,4600,2900,5.8,8.3,
WR,Greg Ward,4,PHI,SF,5,5000,3900,5.8,7.8,
RB,Tarik Cohen,1,CHI,DET,29,5200,4900,5.7,6.7,
WR,Chase Claypool,1,PIT,NYG,28,4500,3000,5.7,6.7,
WR,Keenan Allen,1,LAC,CIN,18,7000,6400,5.7,7.7,
WR,Isaiah McKenzie,2,BUF,MIA,2,4500,3000,5.7,6.7,
WR,Michael Pittman Jr.,2,IND,MIN,32,4600,3500,5.7,7.7,
RB,Mark Ingram II,5,BAL,CIN,22,6100,5400,5.7,5.7,
RB,Chris Thompson,5,JAX,HOU,31,4700,4000,5.7,7.2,
TE,Gerald Everett,4,LAR,NYG,5,4200,2500,5.7,7.2,
TE,Harrison Bryant,4,CLE,DAL,24,4400,2500,5.7,7.7,
RB,Devin Singletary,7,BUF,NYJ,26,6200,5800,5.7,6.7,
WR,Calvin Ridley,8,ATL,CAR,4,8400,7400,5.7,7.2,
WR,Scotty Miller,8,TB,NYG,23,5600,4000,5.7,7.2,
TE,Gerald Everett,8,LAR,MIA,2,4500,3700,5.7,8.2,
RB,Ezekiel Elliott,7,DAL,WAS,13,9500,7800,5.6,6.1,
TE,Jimmy Graham,7,CHI,LAR,20,5300,4900,5.6,8.1,
RB,Joe Mixon,1,CIN,LAC,22,7300,6700,5.6,7.1,
RB,Le'Veon Bell,1,NYJ,BUF,13,6500,5600,5.6,6.6,
WR,DeSean Jackson,1,PHI,WAS,21,5600,4900,5.6,6.6,
WR,Greg Ward,1,PHI,WAS,21,4900,4200,5.6,8.1,
RB,Tarik Cohen,3,CHI,ATL,20,5000,4300,5.6,7.1,
WR,Jarvis Landry,3,CLE,WAS,20,5800,5500,5.6,7.6,
WR,Josh Reynolds,5,LAR,WAS,2,4700,4000,5.6,6.6,
WR,Byron Pringle,6,KC,BUF,18,4800,3000,5.6,6.6,
WR,David Moore,1,SEA,ATL,17,4900,3600,5.5,7,
TE,Tyler Higbee,1,LAR,DAL,26,5800,5000,5.5,7,
WR,Larry Fitzgerald,5,ARI,NYJ,13,4900,3800,5.5,7.5,
RB,Rex Burkhead,4,NE,KC,15,0,0,5.5,6,
WR,John Hightower,6,PHI,BAL,6,4900,3000,5.5,6,
TE,Albert Okwuegbunam,6,DEN,NE,7,4500,2500,5.5,6.5,
WR,Jarvis Landry,6,CLE,PIT,28,5600,4900,5.5,7,
TE,Dalton Schultz,6,DAL,ARI,14,5200,4500,5.5,7.5,
WR,Henry Ruggs III,7,LV,TB,5,5700,4800,5.5,6.5,
TE,Cole Kmet,7,CHI,LAR,20,4300,2500,5.5,6.5,
WR,Darnell Mooney,7,CHI,LAR,2,5300,3000,5.5,7,
WR,Braxton Berrios,7,NYJ,BUF,11,4700,3200,5.5,7.5,
WR,Damiere Byrd,8,NE,BUF,8,4900,3700,5.4,6.9,
RB,Antonio Gibson,1,WAS,PHI,7,4600,4000,5.4,6.4,
WR,Larry Fitzgerald,1,ARI,SF,14,5300,4500,5.4,7.4,
RB,Anthony McFarland Jr.,3,PIT,HOU,28,4500,4000,5.4,5.9,
WR,Marquez Callaway,5,NO,LAC,14,4500,3000,5.4,7.4,
WR,Kendrick Bourne,6,SF,LAR,1,5200,3700,5.4,6.4,
FB,Kyle Juszczyk,1,SF,ARI,21,4600,4000,5.3,5.8,
TE,Hayden Hurst,1,ATL,SEA,30,5300,4300,5.3,6.8,
WR,Darnell Mooney,1,CHI,DET,29,4500,3000,5.3,6.8,
WR,Tyler Boyd,1,CIN,LAC,4,6100,6100,5.3,7.3,
RB,J.D. McKissic,2,WAS,ARI,32,4600,4100,5.3,5.3,
WR,Jakeem Grant Sr.,3,MIA,JAX,10,4800,3400,5.3,5.8,
TE,Jimmy Graham,4,CHI,IND,1,5400,3800,5.3,7.3,
WR,Damiere Byrd,6,NE,DEN,24,5100,3500,5.3,6.8,
TE,Zach Ertz,6,PHI,BAL,18,6000,5000,5.3,7.3,
TE,Noah Fant,7,DEN,KC,14,6000,4800,5.3,6.8,
RB,Le'Veon Bell,8,KC,NYJ,25,6000,4600,5.3,6.8,
TE,Hunter Henry,8,LAC,DEN,11,5600,4200,5.3,7.3,
WR,Tyler Lockett,8,SEA,SF,6,7200,7100,5.3,7.3,
TE,Darren Waller,8,LV,CLE,19,6800,5600,5.3,7.8,
WR,Denzel Mims,8,NYJ,KC,4,4900,3200,5.2,6.2,
TE,Mo Alie-Cox,8,IND,DET,4,5000,3400,5.2,6.7,
WR,Miles Boykin,1,BAL,CLE,8,4900,4100,5.2,6.7,
WR,Bryan Edwards,2,LV,NO,19,4900,3900,5.2,6.2,
WR,Hunter Renfrow,2,LV,NO,19,5100,4600,5.2,6.7,
WR,Zay Jones,4,LV,BUF,22,4500,3000,5.2,7.2,
WR,Julio Jones,4,ATL,GB,19,7900,7100,5.2,7.2,
RB,Nyheim Hines,6,IND,CIN,21,5000,4000,5.2,7.7,
RB,Nick Chubb,1,CLE,BAL,8,7400,6500,5.1,6.6,
WR,Preston Williams,1,MIA,NE,1,5300,4500,5.1,6.1,
WR,Preston Williams,2,MIA,BUF,17,5400,4800,5.1,5.6,
WR,Davante Adams,2,GB,DET,29,8600,8100,5.1,6.6,
TE,Jace Sternberger,3,GB,NO,30,4200,3500,5.1,6.6,
TE,Logan Thomas,3,WAS,CLE,31,4900,3700,5.1,7.1,
WR,Jakeem Grant Sr.,4,MIA,SEA,32,4700,3000,5.1,6.6,
WR,Darnell Mooney,6,CHI,CAR,4,5000,3000,5.1,6.6,
RB,Devontae Booker,8,LV,CLE,15,4800,4000,5.1,5.6,
RB,Tevin Coleman,2,SF,NYJ,10,5000,4000,5,6,
WR,Tee Higgins,2,CIN,CLE,21,4600,3900,5,6.5,
TE,Dallas Goedert,2,PHI,LAR,7,5500,5000,5,7,
RB,Giovani Bernard,2,CIN,CLE,14,4800,4300,5,7.5,
RB,Jordan Wilkins,3,IND,NYJ,23,4600,4000,5,5.5,
WR,Kenny Stills,3,HOU,PIT,22,4700,3700,5,6.5,
TE,Vance McDonald,3,PIT,HOU,15,4200,2800,5,6.5,
WR,Isaiah Wright,3,WAS,CLE,26,4500,3000,5,7,
WR,Jalen Guyton,5,LAC,NO,9,5000,3500,5,5.5,
RB,Jalen Richard,5,LV,KC,17,4500,4000,5,7,
TE,Richard Rodgers,4,PHI,SF,2,4500,2500,5,6.5,
WR,Julian Edelman,4,NE,KC,1,0,0,5,6.5,
RB,Devin Singletary,6,BUF,KC,25,6300,5700,5,5.5,
RB,Tony Pollard,6,DAL,ARI,24,4900,4000,5,6,
WR,DeVante Parker,6,MIA,NYJ,16,6400,6300,5,6.5,
RB,Tyler Ervin,1,GB,MIN,14,4600,4000,4.9,5.4,
WR,Tim Patrick,1,DEN,TEN,16,4600,3600,4.9,6.9,
WR,KhaDarel Hodge,2,CLE,CIN,6,4500,3000,4.9,5.9,
WR,Curtis Samuel,2,CAR,TB,6,5200,4700,4.9,5.9,
WR,Deonte Harris,2,NO,LV,27,4700,3300,4.9,6.4,
WR,Chris Conley,3,JAX,MIA,30,5100,3300,4.9,6.4,
TE,Hunter Henry,4,LAC,TB,8,6100,4600,4.9,5.9,
WR,Tyler Lockett,4,SEA,MIA,20,7500,7000,4.9,5.9,
WR,Cedrick Wilson,4,DAL,CLE,28,5000,3200,4.9,6.4,
WR,Damion Ratley,4,NYG,LAR,12,4500,3100,4.9,6.4,
WR,Dontrelle Inman,4,WAS,BAL,15,5000,3700,4.9,6.9,
WR,Isaiah Wright,4,WAS,BAL,15,4500,3000,4.9,6.9,
TE,Zach Ertz,4,PHI,SF,2,6500,5300,4.9,6.9,
WR,Greg Ward,6,PHI,BAL,6,5300,4100,4.9,5.9,
RB,Jeremy McNichols,8,TEN,CIN,19,4500,4000,4.9,4.9,
WR,Marcus Johnson,8,IND,DET,23,4500,3000,4.9,5.9,
TE,George Kittle,8,SF,SEA,3,7700,7000,4.9,5.9,
TE,Will Dissly,7,SEA,ARI,10,4700,2900,4.8,5.8,
RB,Latavius Murray,1,NO,TB,2,5100,4600,4.8,4.8,
RB,Cam Akers,1,LAR,DAL,12,5800,5600,4.8,5.3,
RB,Giovani Bernard,1,CIN,LAC,22,4800,4400,4.8,6.8,
WR,Allen Robinson II,2,CHI,NYG,30,7000,6400,4.8,6.3,
WR,Darius Slayton,2,NYG,CHI,18,5300,5000,4.8,6.3,
WR,Steven Sims Jr.,2,WAS,ARI,1,5100,4700,4.8,7.3,
WR,Josh Malone,2,NYJ,SF,14,4500,3000,4.8,6.8,
WR,Darius Slayton,3,NYG,SF,16,5500,4900,4.8,7.3,
WR,John Hightower,5,PHI,PIT,27,4800,3000,4.8,5.8,
WR,Anthony Miller,5,CHI,TB,13,5500,4700,4.8,6.8,
WR,JuJu Smith-Schuster,5,PIT,PHI,19,7300,6700,4.8,6.8,
TE,Eric Ebron,5,PIT,PHI,30,5100,4000,4.8,8.3,
WR,Kendrick Bourne,4,SF,PHI,20,5500,4600,4.8,6.3,
TE,Chris Herndon,1,NYJ,BUF,5,4700,3300,4.7,8.7,
RB,Malcolm Brown,2,LAR,PHI,17,5200,5700,4.7,4.7,
WR,Cameron Batson,2,TEN,JAX,10,4500,0,4.7,5.7,
RB,Carlos Hyde,2,SEA,NE,14,5300,4200,4.7,5.7,
WR,C.J. Board,2,NYG,CHI,18,4500,3000,4.7,6.2,
WR,Zay Jones,3,LV,NE,29,4500,3000,4.7,6.2,
WR,Hunter Renfrow,5,LV,KC,1,5100,4900,4.7,5.2,
TE,Darrell Daniels,5,ARI,NYJ,20,4000,2500,4.7,5.7,
RB,Nyheim Hines,4,IND,CHI,21,5200,4700,4.7,6.2,
WR,Kalif Raymond,6,TEN,HOU,18,5000,3200,4.7,6.2,
