P,Player,Week,Team,Opp,Opp Rank,Opp Position Rank,FDSal,DKSal,FD Points,DK Points
RB,Darrell Henderson Jr.,3,LAR,BUF,10,5800,5400,18.5,22,
WR,Tee Higgins,3,CIN,PHI,9,4700,3900,18.5,21,
TE,Jonnu Smith,5,TEN,BUF,27,5800,5100,18.5,21,
WR,Terry McLaurin,7,WAS,DAL,30,7100,5800,18.5,22,
WR,Mike Williams,8,LAC,DEN,13,5900,4400,18.5,21,
RB,David Johnson,1,HOU,KC,27,6300,6000,18.4,19.9,
RB,Chris Carson,2,SEA,NE,14,7300,6400,18.3,19.8,
WR,Emmanuel Sanders,5,NO,LAC,14,5800,4800,18.2,27.2,
WR,Christian Kirk,7,ARI,SEA,32,5400,4900,18.2,20.7,
RB,Giovani Bernard,7,CIN,CLE,15,4800,4500,18.1,20.6,
WR,Andy Isabella,3,ARI,DET,21,4500,3800,18.1,20.1,
WR,Sammy Watkins,1,KC,HOU,20,5400,4600,18,21.5,
RB,Jonathan Taylor,2,IND,MIN,23,5800,5700,18,22,
RB,Chase Edmonds,7,ARI,SEA,9,5900,4900,18,21.5,
RB,Kareem Hunt,7,CLE,CIN,22,7100,6800,17.7,19.2,
WR,Allen Robinson II,8,CHI,NO,22,6800,7000,17.7,20.7,
RB,Raheem Mostert,2,SF,NYJ,10,6500,6400,17.7,18.7,
RB,Chase Edmonds,5,ARI,NYJ,25,5900,4700,17.7,20.2,
WR,A.J. Brown,5,TEN,BUF,19,6500,4900,17.7,21.2,
WR,Marquez Valdes-Scantling,1,GB,MIN,24,4700,4100,17.6,19.6,
RB,Myles Gaskin,5,MIA,SF,1,5500,4800,17.6,20.1,
WR,Calvin Ridley,5,ATL,CAR,7,8300,7500,17.6,24.6,
WR,DK Metcalf,1,SEA,ATL,17,6400,5800,17.5,19.5,
WR,Randall Cobb,3,HOU,PIT,22,5200,4400,17.5,19.5,
WR,Tyler Boyd,3,CIN,PHI,9,5800,5900,17.5,25.5,
TE,Darren Fells,6,HOU,TEN,22,5100,3800,17.5,20.5,
WR,Keenan Allen,7,LAC,JAX,17,7000,6200,17.5,25.5,
WR,Calvin Ridley,7,ATL,DET,24,8400,7300,17.4,19.9,
WR,Marvin Jones Jr.,8,DET,IND,14,5500,4200,17.4,18.9,
WR,Hunter Renfrow,3,LV,NE,29,5100,4300,17.4,20.4,
RB,Dalvin Cook,5,MIN,SEA,5,9200,7600,17.4,19.9,
WR,Amari Cooper,6,DAL,ARI,5,7600,6800,17.4,20.9,
TE,Dalton Schultz,2,DAL,ATL,23,4000,3700,17.3,22.8,
WR,Dontrelle Inman,3,WAS,CLE,26,4700,3100,17.3,18.8,
WR,D.J. Moore,5,CAR,ATL,23,6600,6000,17.3,19.3,
WR,Keelan Cole,6,JAX,DET,25,5600,4900,17.3,23.3,
WR,Brandin Cooks,6,HOU,TEN,22,5700,5000,17.3,21.8,
WR,DK Metcalf,2,SEA,NE,7,6500,6000,17.2,19.2,
RB,Derrick Henry,8,TEN,CIN,19,9500,8000,17.2,20.2,
WR,Julio Jones,8,ATL,CAR,4,8300,7000,17.2,23.7,
WR,Keenan Allen,8,LAC,DEN,13,7400,6200,17.2,21.7,
WR,DK Metcalf,3,SEA,DAL,28,6500,6500,17,23,
WR,David Moore,4,SEA,MIA,20,4600,3400,17,18.5,
RB,Chris Carson,5,SEA,MIN,20,7800,6400,16.9,19.9,
WR,Darius Slayton,5,NYG,DAL,31,5800,4800,16.9,23.9,
RB,Austin Ekeler,2,LAC,KC,16,6900,6500,16.8,18.8,
WR,DeAndre Hopkins,2,ARI,WAS,8,8300,7700,16.8,20.8,
WR,Tyreek Hill,5,KC,LV,15,8200,6900,16.8,18.3,
RB,Kareem Hunt,5,CLE,IND,3,7000,6500,16.8,18.3,
WR,Marquise Brown,5,BAL,CIN,16,6100,6300,16.8,19.8,
WR,Scotty Miller,4,TB,LAC,9,5000,4100,16.8,19.3,
WR,Terry McLaurin,4,WAS,BAL,15,6600,5800,16.8,24.8,
WR,Travis Fulgham,8,PHI,DAL,29,6300,5900,16.8,19.8,
RB,Boston Scott,7,PHI,NYG,22,4600,5600,16.7,18.2,
WR,Cole Beasley,7,BUF,NYJ,13,5100,4900,16.7,25.2,
WR,Tyler Boyd,2,CIN,CLE,21,5800,5800,16.7,20.2,
RB,James Conner,6,PIT,CLE,10,7100,7100,16.7,20.2,
TE,Noah Fant,1,DEN,TEN,27,5400,4200,16.6,19.1,
WR,Greg Ward,3,PHI,CIN,4,4700,3400,16.6,20.6,
WR,Tyler Boyd,8,CIN,TEN,27,6400,6600,16.6,19.6,
WR,Cooper Kupp,8,LAR,MIA,15,7300,6500,16.5,25,
RB,Ezekiel Elliott,4,DAL,CLE,8,9000,7800,16.5,21.5,
WR,Travis Fulgham,6,PHI,BAL,6,5300,4400,16.5,19.5,
TE,Tyler Kroft,3,BUF,LAR,10,4000,2900,16.4,18.4,
WR,CeeDee Lamb,5,DAL,NYG,20,5900,6000,16.4,23.4,
WR,Chase Claypool,2,PIT,DEN,15,4500,3000,16.3,17.8,
TE,Rob Gronkowski,6,TB,GB,6,5000,4400,16.3,18.8,
WR,Tee Higgins,7,CIN,CLE,29,5700,5300,16.3,18.8,
RB,Damien Harris,8,NE,BUF,18,5500,4200,16.2,19.2,
WR,DaeSean Hamilton,8,DEN,LAC,10,4600,3000,16.2,18.2,
WR,Allen Lazard,1,GB,MIN,24,5500,4900,16.2,18.2,
WR,John Brown,2,BUF,MIA,2,6400,6000,16.2,18.2,
WR,Tyler Lockett,2,SEA,NE,7,6800,6300,16.2,19.7,
RB,Devin Singletary,4,BUF,LV,32,6000,5900,16.2,18.7,
RB,Dalvin Cook,2,MIN,IND,4,8800,7600,16.1,17.1,
WR,Mecole Hardman,3,KC,BAL,1,5200,4200,16.1,18.1,
WR,Chase Claypool,6,PIT,CLE,30,5500,5200,16.1,18.1,
WR,John Brown,1,BUF,NYJ,25,6100,5600,16,19,
WR,D.J. Moore,2,CAR,TB,6,6800,6300,16,23,
WR,DeVante Parker,4,MIA,SEA,32,6500,5700,16,24,
WR,Russell Gage,1,ATL,SEA,15,4800,4300,15.9,23.4,
RB,Clyde Edwards-Helaire,3,KC,BAL,1,7600,6500,15.9,18.4,
RB,Alvin Kamara,5,NO,LAC,5,8900,8100,15.9,19.9,
WR,Calvin Ridley,6,ATL,MIN,29,8600,7800,15.9,18.9,
RB,Ronald Jones II,4,TB,LAC,1,5600,4700,15.8,21.8,
TE,Noah Fant,2,DEN,PIT,12,5300,4400,15.7,17.7,
TE,Hayden Hurst,2,ATL,DAL,14,5700,4600,15.7,18.2,
RB,Devonta Freeman,5,NYG,DAL,21,5500,4600,15.7,16.7,
WR,Tee Higgins,6,CIN,IND,10,5500,4700,15.7,21.7,
RB,Justin Jackson,8,LAC,DEN,2,5800,4800,15.7,17.2,
WR,Anthony Miller,1,CHI,DET,29,5500,5000,15.6,17.6,
RB,Aaron Jones,1,GB,MIN,14,7800,6900,15.6,17.6,
RB,Aaron Jones,3,GB,NO,13,8200,7600,15.6,16.6,
WR,Stefon Diggs,5,BUF,TEN,22,7100,6700,15.6,23.6,
WR,Robby Anderson,5,CAR,ATL,23,6200,5900,15.5,22.5,
RB,Melvin Gordon III,2,DEN,PIT,3,6700,5200,15.4,16.4,
WR,Odell Beckham Jr.,2,CLE,CIN,6,6700,5600,15.4,17.4,
RB,David Montgomery,5,CHI,TB,9,5800,5400,15.4,18.9,
WR,Adam Humphries,6,TEN,HOU,18,4700,4000,15.4,18.4,
WR,Jalen Guyton,7,LAC,JAX,17,4900,3200,15.4,16.4,
WR,Darnell Mooney,8,CHI,NO,22,5200,3500,15.4,17.9,
RB,Jamaal Williams,8,GB,MIN,16,7000,6100,15.2,18.2,
WR,Will Fuller V,1,HOU,KC,3,6000,6200,15.2,22.2,
RB,Jerick McKinnon,3,SF,NYG,11,5700,4900,15.2,16.7,
TE,Dalton Schultz,4,DAL,CLE,29,4900,4300,15.2,17.2,
WR,Cooper Kupp,4,LAR,NYG,22,7200,6700,15.2,17.7,
RB,Alexander Mattison,5,MIN,SEA,5,5700,4000,15.1,19.6,
WR,Robert Woods,5,LAR,WAS,2,6700,6400,15.1,17.1,
RB,Carlos Hyde,7,SEA,ARI,20,5000,4000,15.1,16.6,
RB,Phillip Lindsay,8,DEN,LAC,13,6000,5000,15.1,15.6,
RB,Sony Michel,3,NE,LV,29,5700,4400,15,19,
WR,Deebo Samuel,6,SF,LAR,1,5500,4700,15,18,
RB,Peyton Barber,1,WAS,PHI,7,4900,4000,14.9,14.9,
WR,Robert Woods,1,LAR,DAL,7,6900,6500,14.9,20.9,
WR,Braxton Berrios,2,NYJ,SF,14,4500,3000,14.9,17.9,
WR,Chris Godwin,3,TB,DEN,25,7900,6700,14.9,17.4,
WR,Sterling Shepard,7,NYG,PHI,23,5000,4300,14.9,17.9,
WR,Keelan Cole,2,JAX,TEN,4,4800,4300,14.8,17.8,
RB,Ezekiel Elliott,3,DAL,SEA,6,9000,8300,14.8,17.8,
WR,James Washington,6,PIT,CLE,30,4800,4200,14.8,16.8,
RB,Mark Ingram II,2,BAL,HOU,20,6200,5400,14.7,15.7,
RB,Todd Gurley II,3,ATL,CHI,12,6600,5800,14.7,15.2,
WR,Kenny Golladay,3,DET,ARI,2,7500,6200,14.7,17.7,
TE,Rob Gronkowski,7,TB,LV,12,5400,4600,14.7,17.2,
RB,Gus Edwards,8,BAL,PIT,3,4600,4400,14.7,14.7,
RB,Derrick Henry,1,TEN,DEN,10,8400,7800,14.6,19.1,
TE,Mark Andrews,5,BAL,CIN,11,7500,6200,14.6,17.6,
RB,Myles Gaskin,6,MIA,NYJ,27,5700,5400,14.6,16.6,
WR,CeeDee Lamb,2,DAL,ATL,25,5200,4700,14.5,20.5,
RB,Brian Hill,3,ATL,CHI,12,4600,4000,14.5,15,
WR,Stefon Diggs,4,BUF,LV,5,7000,6800,14.5,20.5,
RB,Jamaal Williams,4,GB,ATL,13,5100,4000,14.5,18.5,
WR,Tyreek Hill,7,KC,DEN,18,8000,6400,14.5,17.5,
WR,Brandon Aiyuk,7,SF,NE,21,5500,4100,14.5,20.5,
RB,David Johnson,7,HOU,GB,31,6300,5300,14.4,17.4,
TE,T.J. Hockenson,7,DET,ATL,31,5900,5100,14.4,16.9,
WR,Kenny Golladay,7,DET,ATL,28,7600,6700,14.4,20.4,
WR,Willie Snead IV,1,BAL,CLE,8,5100,4000,14.4,16.4,
WR,Braxton Berrios,3,NYJ,IND,15,5100,3600,14.4,16.4,
RB,Jonathan Taylor,5,IND,CLE,10,7100,6200,14.4,15.4,
WR,Tyreek Hill,4,KC,NE,27,0,0,14.4,16.4,
WR,JuJu Smith-Schuster,3,PIT,HOU,13,7000,6600,14.3,16.3,
WR,Curtis Samuel,7,CAR,NO,19,5000,3900,14.3,17.3,
WR,Demarcus Robinson,8,KC,NYJ,11,5300,3100,14.3,16.3,
RB,Derrick Henry,7,TEN,PIT,3,8900,7500,14.2,15.2,
RB,J.K. Dobbins,1,BAL,CLE,25,5200,5000,14.2,14.2,
WR,Calvin Ridley,3,ATL,CHI,5,8000,7200,14.2,19.7,
WR,Kenny Golladay,4,DET,NO,14,7300,6000,14.2,16.2,
RB,Melvin Gordon III,1,DEN,TEN,16,6600,5500,14.1,16.6,
TE,T.J. Hockenson,1,DET,CHI,18,5300,4200,14.1,16.6,
RB,Devin Singletary,3,BUF,LAR,23,5900,4900,14.1,16.1,
RB,Reggie Bonnafon,4,CAR,ARI,22,4600,4000,14.1,15.1,
TE,Travis Kelce,1,KC,HOU,24,7800,7000,14,17,
RB,Ronald Jones II,5,TB,CHI,17,5800,5800,14,18.5,
WR,Allen Robinson II,5,CHI,TB,13,7100,6700,14,19,
TE,Logan Thomas,7,WAS,DAL,23,5000,3500,14,16,
WR,Rashard Higgins,7,CLE,CIN,14,4500,3000,14,20,
TE,Darren Waller,7,LV,TB,11,6800,6100,14,17,
WR,Mike Evans,8,TB,NYG,23,7100,5700,14,16.5,
RB,Wayne Gallman,7,NYG,PHI,12,4800,4000,13.9,16.4,
RB,T.J. Yeldon,5,BUF,TEN,26,4500,4000,13.9,14.4,
WR,Jamison Crowder,4,NYJ,DEN,28,6000,5200,13.9,20.4,
WR,Robby Anderson,4,CAR,ARI,2,6200,5400,13.9,17.9,
RB,Joe Mixon,6,CIN,IND,3,6900,6200,13.9,14.9,
WR,DeVante Parker,2,MIA,BUF,17,6500,5900,13.8,16.3,
RB,James Conner,5,PIT,PHI,14,7000,6900,13.8,15.3,
WR,Will Fuller V,5,HOU,JAX,10,6600,6600,13.8,15.8,
RB,Jerick McKinnon,2,SF,NYJ,10,4900,4200,13.7,13.7,
TE,Eric Ebron,3,PIT,HOU,15,4700,4300,13.7,16.2,
WR,Nelson Agholor,5,LV,KC,1,4900,3600,13.7,14.7,
WR,Jalen Guyton,4,LAC,TB,7,4800,3400,13.7,14.2,
TE,Hayden Hurst,6,ATL,MIN,16,5400,4700,13.7,15.7,
WR,Julio Jones,7,ATL,DET,24,8300,7100,13.7,17.7,
TE,Jared Cook,8,NO,CHI,18,5800,4400,13.6,16.1,
WR,Corey Davis,1,TEN,DEN,9,5000,4000,13.6,20.1,
RB,Dion Lewis,2,NYG,CHI,18,4700,4500,13.6,15.6,
TE,Mo Alie-Cox,2,IND,MIN,2,4000,3000,13.6,19.1,
WR,Russell Gage,2,ATL,DAL,19,5400,4800,13.6,16.6,
WR,Emmanuel Sanders,3,NO,GB,27,6400,6000,13.6,15.6,
WR,Stefon Diggs,6,BUF,KC,6,7100,6600,13.6,16.6,
WR,A.J. Green,6,CIN,IND,10,5200,3900,13.6,17.6,
RB,Kenyan Drake,1,ARI,SF,3,6600,6400,13.5,14.5,
TE,Robert Tonyan,3,GB,NO,30,4600,2900,13.5,16,
RB,Jonathan Taylor,6,IND,CIN,21,7300,6400,13.5,15.5,
WR,Randall Cobb,7,HOU,GB,10,5100,4300,13.5,17.5,
RB,James Conner,8,PIT,BAL,4,6900,6400,13.5,15,
WR,Robby Anderson,2,CAR,TB,6,5900,5200,13.4,21.9,
RB,Kareem Hunt,3,CLE,WAS,3,6200,6100,13.4,14.4,
WR,Will Fuller V,3,HOU,PIT,22,6000,6000,13.4,15.4,
RB,Raheem Mostert,5,SF,MIA,23,6500,6100,13.4,14.9,
RB,David Johnson,6,HOU,TEN,25,6400,5400,13.4,13.9,
WR,Zach Pascal,6,IND,CIN,12,5100,4700,13.4,15.4,
WR,Adam Humphries,2,TEN,JAX,10,4700,3400,13.3,15.8,
TE,Darren Waller,5,LV,KC,15,6800,5900,13.3,15.8,
RB,James Robinson,6,JAX,DET,32,6500,6800,13.3,15.3,
WR,Marcus Johnson,6,IND,CIN,12,4500,3000,13.3,18.8,
WR,Marvin Hall,8,DET,IND,14,4600,3000,13.3,18.3,
WR,Josh Reynolds,7,LAR,CHI,3,5100,3400,13.2,15.2,
WR,Keelan Cole,1,JAX,IND,26,4600,3800,13.2,15.7,
WR,Tyler Lockett,1,SEA,ATL,17,6800,6500,13.2,17.2,
WR,Mike Evans,3,TB,DEN,25,7700,6800,13.2,14.2,
RB,D'Andre Swift,4,DET,NO,13,5300,4300,13.2,15.2,
WR,Tyreek Hill,1,KC,HOU,20,8100,7900,13.1,15.6,
WR,Amari Cooper,1,DAL,LAR,12,7100,7000,13.1,18.1,
WR,Keenan Allen,2,LAC,KC,11,6900,5700,13.1,16.6,
WR,Amari Cooper,3,DAL,SEA,32,7000,6500,13.1,17.6,
WR,Jerry Jeudy,4,DEN,NYJ,7,5600,5300,13.1,14.1,
